iter_b,action_b,payoff_b,selection_method_b
1058,1,3,greedy
1059,1,0,greedy
1060,1,0,greedy
1061,1,0,greedy
1062,1,0,greedy
1063,1,0,greedy
1064,1,0,greedy
1065,1,0,greedy
1066,1,0,greedy
1067,1,0,greedy
1068,1,0,greedy
1069,1,0,greedy
1070,1,0,greedy
1071,1,0,greedy
1072,1,0,greedy
1073,1,0,greedy
1074,1,0,greedy
1075,1,0,greedy
1076,1,0,greedy
1077,1,0,greedy
1078,1,0,greedy
1079,0,0,greedy
1080,1,0,greedy
1081,0,0,greedy
1082,1,3,random
1083,1,0,greedy
1084,1,0,greedy
1085,1,0,greedy
1086,0,0,greedy
1087,1,0,greedy
1088,0,0,greedy
1089,1,3,greedy
1090,1,0,greedy
1091,1,0,greedy
1092,0,0,greedy
1093,1,0,greedy
1094,0,0,greedy
1095,1,0,greedy
1096,0,0,greedy
1097,1,0,greedy
1098,0,0,greedy
1099,1,0,greedy
1100,0,0,greedy
1101,1,0,greedy
1102,0,0,greedy
1103,1,0,greedy
1104,0,0,greedy
1105,1,0,greedy
1106,0,0,greedy
1107,1,0,random
1108,1,0,random
1109,0,0,greedy
1110,0,0,greedy
1111,1,0,greedy
1112,0,0,greedy
1113,1,0,greedy
1114,0,0,greedy
1115,1,0,greedy
1116,0,0,greedy
1117,1,0,greedy
1118,0,0,greedy
1119,1,0,greedy
1120,1,0,random
1121,0,0,greedy
1122,0,0,greedy
1123,1,0,greedy
1124,0,0,greedy
1125,1,0,greedy
1126,1,0,random
1127,0,0,greedy
1128,0,0,greedy
1129,1,0,greedy
1130,0,0,greedy
1131,1,0,greedy
1132,0,0,greedy
1133,1,0,greedy
1134,1,0,random
1135,0,0,greedy
1136,0,0,greedy
1137,1,0,greedy
1138,0,0,greedy
1139,1,0,greedy
1140,0,0,greedy
1141,0,0,random
1142,1,3,greedy
1143,1,3,greedy
1144,1,3,greedy
1145,1,3,greedy
1146,1,3,greedy
1147,1,3,greedy
1148,1,3,greedy
1149,1,3,greedy
1150,1,3,greedy
1151,1,3,greedy
1152,1,3,greedy
1153,1,3,greedy
1154,1,3,greedy
1155,1,3,greedy
1156,1,3,greedy
1157,1,0,greedy
1158,0,5,random
1159,1,0,greedy
1160,1,0,greedy
1161,1,0,greedy
1162,1,0,greedy
1163,1,0,greedy
1164,1,0,greedy
1165,1,0,greedy
1166,1,0,greedy
1167,1,0,greedy
1168,1,0,greedy
1169,1,0,greedy
1170,1,0,greedy
1171,1,0,greedy
1172,1,0,greedy
1173,1,0,greedy
1174,1,0,greedy
1175,1,0,greedy
1176,1,0,greedy
1177,1,0,greedy
1178,1,0,greedy
1179,0,0,greedy
1180,1,0,greedy
1181,0,0,greedy
1182,0,0,random
1183,1,0,greedy
1184,1,0,greedy
1185,0,0,greedy
1186,1,0,greedy
1187,0,5,greedy
1188,0,0,greedy
1189,0,0,greedy
1190,0,0,greedy
1191,0,5,greedy
1192,1,0,random
1193,0,0,random
1194,1,0,random
1195,0,0,greedy
1196,0,0,random
1197,0,0,greedy
1198,0,0,greedy
1199,1,0,random
1200,0,0,greedy
1201,0,0,greedy
1202,0,0,greedy
1203,1,0,greedy
1204,0,0,greedy
1205,1,0,random
1206,0,0,greedy
1207,1,0,greedy
1208,0,0,greedy
1209,1,0,greedy
1210,0,0,greedy
1211,1,0,greedy
1212,0,0,greedy
1213,1,0,greedy
1214,0,0,greedy
1215,0,5,random
1216,1,0,random
1217,0,0,greedy
1218,1,0,random
1219,0,0,greedy
1220,0,0,greedy
1221,0,0,greedy
1222,0,5,greedy
1223,0,5,greedy
1224,0,0,greedy
1225,0,5,greedy
1226,0,0,greedy
1227,0,5,greedy
1228,1,0,random
1229,0,0,greedy
1230,0,0,greedy
1231,0,5,greedy
1232,0,0,greedy
1233,0,5,greedy
1234,0,0,greedy
1235,0,5,greedy
1236,0,0,greedy
1237,0,5,greedy
1238,0,0,greedy
1239,0,5,greedy
1240,0,0,greedy
1241,0,5,greedy
1242,0,0,greedy
1243,0,5,greedy
1244,0,0,greedy
1245,0,5,greedy
1246,0,0,greedy
1247,0,5,greedy
1248,0,0,greedy
1249,0,5,greedy
1250,0,0,greedy
1251,0,5,greedy
1252,0,0,greedy
1253,0,5,greedy
1254,0,0,greedy
1255,0,5,greedy
1256,0,0,greedy
1257,0,5,greedy
1258,0,0,greedy
1259,0,5,random
1260,0,0,greedy
1261,0,5,greedy
1262,0,0,greedy
1263,0,5,greedy
1264,0,0,greedy
1265,0,5,greedy
1266,0,0,greedy
1267,0,5,greedy
1268,0,0,greedy
1269,0,5,greedy
1270,0,0,greedy
1271,0,5,greedy
1272,0,0,greedy
1273,0,5,random
1274,0,0,greedy
1275,0,5,greedy
1276,0,0,greedy
1277,0,5,greedy
1278,0,0,greedy
1279,1,3,random
1280,0,5,greedy
1281,0,0,greedy
1282,0,5,greedy
1283,1,0,random
1284,0,0,random
1285,0,0,greedy
1286,0,5,random
1287,0,0,greedy
1288,0,5,greedy
1289,0,0,greedy
1290,1,3,random
1291,0,5,greedy
1292,0,0,greedy
1293,0,5,greedy
1294,0,0,greedy
1295,1,3,random
1296,1,3,random
1297,0,5,greedy
1298,0,5,random
1299,0,0,greedy
1300,0,5,greedy
1301,0,0,greedy
1302,1,3,random
1303,1,3,random
1304,0,5,greedy
1305,0,0,greedy
1306,0,5,greedy
1307,0,5,greedy
1308,0,0,greedy
1309,0,5,greedy
1310,1,0,random
1311,0,0,greedy
1312,1,0,random
1313,1,0,random
1314,0,0,greedy
1315,0,0,greedy
1316,1,3,random
1317,0,0,greedy
1318,0,0,greedy
1319,0,5,greedy
1320,0,0,greedy
1321,0,5,greedy
1322,0,0,greedy
1323,0,5,greedy
1324,0,0,greedy
1325,0,5,greedy
1326,0,0,greedy
1327,0,5,greedy
1328,0,0,greedy
1329,0,5,greedy
1330,0,0,greedy
1331,0,5,greedy
1332,0,0,greedy
1333,1,3,random
1334,0,5,greedy
1335,0,5,greedy
1336,0,0,greedy
1337,0,5,greedy
1338,0,0,greedy
1339,0,5,greedy
1340,0,0,greedy
1341,0,5,greedy
1342,0,0,greedy
1343,0,5,greedy
1344,0,0,greedy
1345,0,0,greedy
1346,0,5,greedy
1347,0,5,random
1348,0,0,greedy
1349,0,5,greedy
1350,0,0,greedy
1351,0,5,greedy
1352,0,0,greedy
1353,0,5,greedy
1354,0,0,greedy
1355,0,5,greedy
1356,0,0,greedy
1357,0,5,greedy
1358,0,0,greedy
1359,0,5,greedy
1360,0,0,greedy
1361,0,5,greedy
1362,0,5,greedy
1363,0,0,greedy
1364,0,0,greedy
1365,0,5,random
1366,0,0,greedy
1367,1,3,random
1368,0,5,greedy
1369,0,5,greedy
1370,0,0,greedy
1371,1,3,random
1372,0,5,greedy
1373,0,5,greedy
1374,0,0,greedy
1375,0,5,greedy
1376,0,0,greedy
1377,0,5,greedy
1378,0,0,greedy
1379,0,5,greedy
1380,0,0,greedy
1381,0,5,greedy
