iter_b,zero_prob_b,one_prob_b
915,0.05,0.95
916,0.05,0.95
917,0.05,0.95
918,0.05,0.95
919,0.05,0.95
920,0.05,0.95
921,0.05,0.95
922,0.05,0.95
923,0.05,0.95
924,0.05,0.95
925,0.05,0.95
926,0.05,0.95
927,0.05,0.95
928,0.05,0.95
929,0.05,0.95
930,0.05,0.95
931,0.05,0.95
932,0.05,0.95
933,0.05,0.95
934,0.05,0.95
935,0.05,0.95
936,0.05,0.95
937,0.05,0.95
938,0.05,0.95
939,0.06,0.94
940,0.06,0.94
941,0.06,0.94
942,0.06,0.94
943,0.06,0.94
944,0.06,0.94
945,0.06,0.94
946,0.05,0.95
947,0.05,0.95
948,0.05,0.95
949,0.05,0.95
950,0.05,0.95
951,0.05,0.95
952,0.05,0.95
953,0.05,0.95
954,0.05,0.95
955,0.05,0.95
956,0.06,0.94
957,0.06,0.94
958,0.06,0.94
959,0.06,0.94
960,0.06,0.94
961,0.06,0.94
962,0.06,0.94
963,0.06,0.94
964,0.05,0.95
965,0.05,0.95
966,0.05,0.95
967,0.05,0.95
968,0.05,0.95
969,0.05,0.95
970,0.05,0.95
971,0.05,0.95
972,0.05,0.95
973,0.05,0.95
974,0.05,0.95
975,0.05,0.95
976,0.05,0.95
977,0.05,0.95
978,0.05,0.95
979,0.05,0.95
980,0.05,0.95
981,0.05,0.95
982,0.05,0.95
983,0.05,0.95
984,0.05,0.95
985,0.05,0.95
986,0.05,0.95
987,0.05,0.95
988,0.05,0.95
989,0.05,0.95
990,0.05,0.95
991,0.05,0.95
992,0.05,0.95
993,0.05,0.95
994,0.05,0.95
995,0.05,0.95
996,0.05,0.95
997,0.05,0.95
998,0.05,0.95
999,0.05,0.95
1000,0.05,0.95
1001,0.05,0.95
1002,0.05,0.95
1003,0.05,0.95
1004,0.05,0.95
1005,0.05,0.95
1006,0.05,0.95
1007,0.05,0.95
1008,0.05,0.95
1009,0.05,0.95
1010,0.05,0.95
1011,0.05,0.95
1012,0.05,0.95
1013,0.05,0.95
1014,0.05,0.95
1015,0.05,0.95
1016,0.05,0.95
1017,0.05,0.95
1018,0.05,0.95
1019,0.05,0.95
1020,0.05,0.95
1021,0.05,0.95
1022,0.05,0.95
1023,0.05,0.95
1024,0.05,0.95
1025,0.05,0.95
1026,0.05,0.95
1027,0.05,0.95
1028,0.05,0.95
1029,0.05,0.95
1030,0.05,0.95
1031,0.05,0.95
1032,0.05,0.95
1033,0.05,0.95
1034,0.05,0.95
1035,0.05,0.95
